Year/Month,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,% Growth in 2019-20 over 2018-19
April,117.97,101.57,105.56,59.07,39.88,52.49,69.22,71,31.87
May,108.05,101.1,106.85,63.82,45.01,50.57,75.25,70.01,48.81
June,94.51,101.11,109.05,61.75,46.96,46.56,73.83,62.37,58.58
July,100.34,104.86,106.3,56.3,43.52,47.86,73.47,63.63,53.52
August,110.07,108.45,101.89,47.33,44.38,50.63,72.53,59.35,43.24
September,111.77,109.47,96.96,46.1,44.48,54.52,77.88,61.72,42.84
October,109.79,107.37,86.83,46.68,49.25,56.06,80.08,59.7,42.85
November,107.87,106.55,77.58,42.5,44.46,61.32,65.4,62.53,6.66
December,107.28,108.72,61.21,35.68,52.74,62.29,57.77,65.5,-7.26
January,109.55,105.29,46.59,28.08,54.08,67.06,59.27,64.31,-11.62
February,112.68,106.19,56.43,30.53,54.86,63.54,64.53,54.63,1.56
March,106.45,105.3,55.18,36.42,51.47,63.8,66.74,33.36,4.62
Year Average,107.97,105.52,84.16,46.17,47.56,56.43,69.88,60.47,23.84
