Year,Country,Currency,Indicator,Gasoline Price
2000,Saudi Arabia,SAR,Real Gasoline price US$/ Liter,0.184039088
2001,Saudi Arabia,SAR,Real Gasoline price US$/ Liter,0.181991624
2002,Saudi Arabia,SAR,Gasoline Price LCU/ Liter,0.9
2003,Saudi Arabia,SAR,Gasoline Price LCU/ Liter,0.9
2006,Saudi Arabia,SAR,Real Gasoline Price LCU/ Liter,0.473662168
2008,Saudi Arabia,SAR,Real Gasoline Price LCU/ Liter,0.542100977
2009,Saudi Arabia,SAR,Gasoline Price US$/ Liter,0.16
2010,Saudi Arabia,SAR,Real Gasoline price US$/ Liter,0.16
2011,Saudi Arabia,SAR,Gasoline Price LCU/ Liter,0.6
2012,Saudi Arabia,SAR,Real Gasoline price US$/ Liter,0.174204192
2013,Saudi Arabia,SAR,Gasoline Price US$/ Liter,0.16
2013,Saudi Arabia,SAR,Real Gasoline price US$/ Liter,0.18031225
2014,Saudi Arabia,SAR,Gasoline Price LCU/ Liter,0.6
2014,Saudi Arabia,SAR,Gasoline Price US$/ Liter,0.16
2004,United Arab Emirates,AED,Real Gasoline Price LCU/ Liter,0.694443785
2006,United Arab Emirates,AED,Real Gasoline Price LCU/ Liter,1.071981921
2007,United Arab Emirates,AED,Real Gasoline Price LCU/ Liter,1.191270135
2007,United Arab Emirates,AED,Real Gasoline price US$/ Liter,0.324331646
2012,United Arab Emirates,AED,Gasoline Price LCU/ Liter,1.72
2014,United Arab Emirates,AED,Gasoline Price LCU/ Liter,1.72
2004,Qatar,QAR,Gasoline Price LCU/ Liter,0.76
2009,Qatar,QAR,Gasoline Price US$/ Liter,0.19
2009,Qatar,QAR,Real Gasoline price US$/ Liter,0.197087572
2010,Qatar,QAR,Gasoline Price LCU/ Liter,0.7
2012,Qatar,QAR,Real Gasoline Price LCU/ Liter,1.03818746
2012,Qatar,QAR,Real Gasoline price US$/ Liter,0.285216335
2014,Qatar,QAR,Gasoline Price US$/ Liter,0.23
2000,Kuwait,KWD,Gasoline Price US$/ Liter,0.21
2001,Kuwait,KWD,Real Gasoline Price LCU/ Liter,0.049596889
2002,Kuwait,KWD,Gasoline Price LCU/ Liter,0.07
2003,Kuwait,KWD,Real Gasoline Price LCU/ Liter,0.050518569
2003,Kuwait,KWD,Gasoline Price US$/ Liter,0.234899329
2007,Kuwait,KWD,Gasoline Price US$/ Liter,0.246478873
2009,Kuwait,KWD,Gasoline Price US$/ Liter,0.243055556
2010,Kuwait,KWD,Real Gasoline Price LCU/ Liter,0.065
2010,Kuwait,KWD,Real Gasoline price US$/ Liter,0.226480836
2013,Kuwait,KWD,Gasoline Price US$/ Liter,0.228873239
2014,Kuwait,KWD,Real Gasoline Price LCU/ Liter,0.074374264
2001,Bahrain,BHD,Real Gasoline Price LCU/ Liter,0.082430922
2003,Bahrain,BHD,Real Gasoline Price LCU/ Liter,0.083329575
2004,Bahrain,BHD,Gasoline Price LCU/ Liter,0.1
2007,Bahrain,BHD,Real Gasoline Price LCU/ Liter,0.073727334
2007,Bahrain,BHD,Real Gasoline price US$/ Liter,0.196083334
2010,Bahrain,BHD,Gasoline Price US$/ Liter,0.21
2010,Bahrain,BHD,Real Gasoline price US$/ Liter,0.212765957
2012,Bahrain,BHD,Real Gasoline price US$/ Liter,0.282198674
2002,Oman,OMR,Real Gasoline Price LCU/ Liter,0.088765894
2003,Oman,OMR,Gasoline Price LCU/ Liter,0.12
2005,Oman,OMR,Gasoline Price US$/ Liter,0.31
2005,Oman,OMR,Real Gasoline price US$/ Liter,0.23706884
2006,Oman,OMR,Gasoline Price LCU/ Liter,0.12
2011,Oman,OMR,Real Gasoline Price LCU/ Liter,0.124884069
2013,Oman,OMR,Real Gasoline Price LCU/ Liter,0.130119671
2013,Oman,OMR,Gasoline Price US$/ Liter,0.31
2000,Saudi Arabia,SAR,Gasoline Price LCU/ Liter,0.9
2000,Saudi Arabia,SAR,Real Gasoline Price LCU/ Liter,0.69014658
2002,Saudi Arabia,SAR,Real Gasoline Price LCU/ Liter,0.684039088
2002,Saudi Arabia,SAR,Real Gasoline price US$/ Liter,0.182410423
2003,Saudi Arabia,SAR,Real Gasoline Price LCU/ Liter,0.688052583
2003,Saudi Arabia,SAR,Gasoline Price US$/ Liter,0.24
2004,Saudi Arabia,SAR,Real Gasoline Price LCU/ Liter,0.69032108
2005,Saudi Arabia,SAR,Gasoline Price LCU/ Liter,0.9
2005,Saudi Arabia,SAR,Real Gasoline Price LCU/ Liter,0.695148906
2007,Saudi Arabia,SAR,Gasoline Price US$/ Liter,0.16
2007,Saudi Arabia,SAR,Real Gasoline price US$/ Liter,0.13157541
2009,Saudi Arabia,SAR,Real Gasoline Price LCU/ Liter,0.569567241
2012,Saudi Arabia,SAR,Gasoline Price LCU/ Liter,0.6
2014,Saudi Arabia,SAR,Real Gasoline Price LCU/ Liter,0.694228257
2004,United Arab Emirates,AED,Gasoline Price US$/ Liter,0.28
2006,United Arab Emirates,AED,Gasoline Price LCU/ Liter,1.37
2006,United Arab Emirates,AED,Gasoline Price US$/ Liter,0.37
2008,United Arab Emirates,AED,Real Gasoline Price LCU/ Liter,1.337205733
2008,United Arab Emirates,AED,Real Gasoline price US$/ Liter,0.364063635
2010,United Arab Emirates,AED,Real Gasoline price US$/ Liter,0.468282058
2011,United Arab Emirates,AED,Real Gasoline price US$/ Liter,0.472388127
2012,United Arab Emirates,AED,Real Gasoline price US$/ Liter,0.475525102
2006,Qatar,QAR,Gasoline Price LCU/ Liter,0.7
2006,Qatar,QAR,Real Gasoline Price LCU/ Liter,0.576159464
2007,Qatar,QAR,Real Gasoline Price LCU/ Liter,0.655428419
2008,Qatar,QAR,Gasoline Price LCU/ Liter,0.7
2008,Qatar,QAR,Real Gasoline Price LCU/ Liter,0.754071348
2008,Qatar,QAR,Gasoline Price US$/ Liter,0.19
2010,Qatar,QAR,Real Gasoline Price LCU/ Liter,0.7
2010,Qatar,QAR,Gasoline Price US$/ Liter,0.19
