Year,Select a country,Country ,value (Bcm)
2020,KSA,Saudi Arabia,112.100058
2020,Oman,Rest-world,3446.474378
2020,KSA,Rest-world,3446.474378
2020,Kuwait,Rest of GCC,392.2179845
2020,Qatar,Rest-world,3446.474378
2020,KSA,Rest of GCC,295.0883963
2020,Bahrain,Rest-world,3446.474378
2020,UAE,Rest of GCC,351.7564719
2020,Kuwait,Kuwait,14.97046983
2020,Oman,Oman,36.93040495
2020,Qatar,Rest of GCC,235.8697332
2020,Bahrain,Bahrain,16.43681806
2020,Bahrain,Rest of GCC,390.7516362
2020,UAE,Rest-world,3446.474378
2020,Kuwait,Rest-world,3446.474378
2020,UAE,United Arab Emirates,55.43198237
2020,Oman,Rest of GCC,370.2580493
2020,Qatar,Qatar,171.3187211
