Year,Select a country,Country,Refinery production (MMb/d)
2020,KSA,Saudi Arabia,2.905
2020,UAE,United Arab Emirates,1.331
2020,UAE,Rest of GCC,4.698
2020,Kuwait,Rest-world,95.91771727
2020,Bahrain,Rest of GCC,5.769
2020,Bahrain,Bahrain,0.26
2020,Bahrain,Rest-world,95.91771727
2020,Oman,Oman,0.304
2020,Qatar,Rest of GCC,5.725
2020,UAE,Rest-world,95.91771727
2020,Kuwait,Rest of GCC,5.229
2020,Oman,Rest of GCC,5.725
2020,Qatar,Rest-world,95.91771727
2020,KSA,Rest-world,95.91771727
2020,Kuwait,Kuwait,0.8
2020,Oman,Rest-world,95.91771727
2020,Qatar,Qatar,0.304
2020,KSA,Rest of GCC,3.124
